date,high,low,close,ticker,next_open,standard_volume,oto,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2018-05-07,1.6181579753669295,-0.07355227085321657,1.1032920793944356,msft,0.7145112096867523,-0.414526217447359,0.16693131419567298,1366010985.649642,618245200,0.04268588697110692,7335411.497909205,49.04705304097309,11.68879783799262,-0.8826448009445584,531107.9935682702,2110.6011408057357,94.62142992365783,2.5078882237441094,94.37650032043457,97.07181758233556,91.68118305853359,5.711839817644492,0.8419821715103676,0.0,0.0,94.2993339538574,97.03833465576179,91.56033325195304,5.809162349427882,0.8506145992424006,0.0,0.0,8.074046739082288,0.7795275984737211,0.658020224959813,0.5888544382988956,0.06916578666091744,94.4450003306071,93.51807697002704,94.5602756755078,93.90225545054798,9.040320015044939,22.034137075261654,18.09203897217119,0.9836348143799677,0.9724375936423938,0.011197220737573899,0.09348146116302937,24.63234982823759,107.89441927350961,0.6234996795654268,22.63699189906952,23.062847642537285,-0.4258557434677641,94.09000015258789,92.70500183105469,93.39750099182129,92.4900016784668,91.63500022888184,90.53499984741211,48.0,4.0,44.0,91.14988015065647,,0.0,0.0,56.79171241313638,6.752629770958943,52.97112290682158,77.95275984737212,63.91077416299461,-22.047240152627886,1.4219991571762876,93.4279127845327,0.11445282452710218,1.1139108005476128,1.1077525039430824,105.774175950715
2018-05-08,0.32342743132331986,-0.8242054544639665,-0.04173282854890159,msft,0.16693131419567298,-0.4647686738056579,1.5102561357979605,1374550662.503575,594760600,0.03399156295984794,4911956.712040249,43.896101299661815,-1.3817556456817033,-1.1483448030194074,169963.8771270247,2101.607644796547,94.60088252001101,2.3730997675806345,94.52300033569335,97.19544578974141,91.8505548816453,5.654592944694969,0.7407901760821619,0.0,0.0,94.46700032552081,96.9100018819174,92.02399876912428,5.1721798045419005,0.7748662254341452,0.0,0.0,8.061532875088604,0.7257213629978522,0.7089708998243509,0.6128777306039866,0.09609316922036426,94.51250012715657,93.79846162062425,94.75254058059795,94.0435696807736,9.072619491779905,21.283754582946322,17.593341321017796,0.9623455892624498,0.9916642489019185,-0.02931865963946867,0.09697205803490679,24.40605708576572,76.30176946523441,0.8269981384277401,23.128408492236904,23.46484997144039,-0.33644147920348644,95.17499923706055,92.81500244140625,93.9950008392334,92.4900016784668,91.63500022888184,90.53499984741211,44.0,12.0,32.0,91.28488257816092,,0.0,0.0,55.48055119353308,7.364606279029716,54.34859563811188,72.57213629978521,71.52231063105353,-27.42786370021478,1.670557852352374,93.51568709850882,0.8526290090460676,-0.42611063906444757,-0.4270210776857297,104.89735029454184
2018-05-09,0.9998948683601628,-0.999894868360196,0.9686493953579456,msft,1.5102561357979605,-0.20985487489666527,0.3488651451663216,1401024115.187773,622088000,0.10395435201502654,8621690.815258719,49.80875363662074,2.8103741931644044,-0.9921998137489118,222235.1862632209,2101.607644796547,94.62339678225572,2.3277896077171034,94.7770004272461,97.35264924787303,92.20135160661916,5.435176907933671,0.9198945906052608,0.0,0.0,94.9026672363281,97.23566818237312,92.56966629028312,4.916618286892447,0.9366340289171106,0.0,0.0,8.039928160030126,0.8740159135896269,0.8309529189331784,0.656492768269825,0.1744601506633533,94.64500045776367,94.076538672814,95.08907317456845,94.25812025563528,9.502145380683332,22.480057433143532,16.586485780714163,0.9674101943335732,0.9785591834063997,-0.011148989072826465,0.10306046058167685,24.102804693941597,105.51091030830626,-1.6569976806640483,25.730679119567135,24.0058970466941,1.7247820728730368,95.17499923706055,92.81500244140625,93.9950008392334,92.4900016784668,91.63500022888184,90.53499984741211,100.0,8.0,92.0,91.41718495711528,,0.0,0.0,58.33559996602257,8.711432271449636,64.38141990836841,87.4015913589627,79.30882916870665,-12.598408641037302,1.95185230479521,93.78124768087181,1.6675448271943962,1.1794227237313049,1.1725217420909928,107.31395620423898
2018-05-10,0.5027681801482942,-0.4206813426701373,0.4617325896408842,msft,0.3488651451663216,-0.5375054752274624,0.1226943900237032,1421422482.3845441,644476100,0.1247400815721184,10492375.602968039,56.079613442608135,5.989740009948965,-0.033023912704325094,546325.4104874814,2122.6367548599997,94.74828953987333,2.1960100976289896,94.99350051879883,97.84359848460693,92.14340255299072,6.00061677955342,1.0116496306967502,1.0,0.0,95.24933395385742,97.46733398437507,93.03133392333976,4.657250478186326,1.0997902776473332,1.0,0.0,8.074234686643077,0.9947857502372356,0.9944323427476576,0.7240806831653915,0.27035165958226604,95.04416720072429,94.29115412785457,95.52306248034398,94.52863013759632,10.35299153825559,24.82111032954016,16.065627689968565,1.0601237971845228,0.9221930108196609,0.1379307863648619,0.1124409745805192,23.870890495424405,165.36724715082505,-2.683502960205061,27.66892523921078,24.390230597769765,3.278694641441014,95.1999969482422,93.71500015258789,94.45749855041504,92.51499938964844,91.63500022888184,90.53499984741211,100.0,4.0,96.0,91.54684128849055,,0.0,0.0,60.66740886117984,10.534068628823379,64.43503338189717,99.47857502372356,86.48410089415712,-0.521424976276442,2.5139996921314918,94.03295581058529,5.143901175092207,1.0006201735856646,0.9956471166847614,109.38838147267714
2018-05-11,0.07157432785274143,-0.777098274555521,-0.10225572637525547,msft,0.1226943900237032,-0.9096339828572289,-0.6944447690884981,1431327524.5685685,627697800,0.15425347769011824,8490099.710075807,51.50520585054192,-0.22260039824482986,-0.250685181132747,188032.14703854406,2118.0839211050325,94.82248878228529,2.0634093625242937,95.2245002746582,98.16428666227097,92.28471388704543,6.174432796461997,0.9210334267848304,0.0,0.0,95.41533381144205,97.31733423868823,93.51333338419587,3.9867814768743055,1.100594801155752,1.0,0.0,8.054647855145026,0.9674054680987784,1.094429277761094,0.7981504020845321,0.29627887567656186,95.49333381652832,94.49576950073242,95.85797547540525,94.76354619764416,11.135965131671055,24.118520289615812,15.643414294359017,1.0425468727661764,0.9269765342066844,0.11557033855949206,0.12294010048051833,23.60703349462548,141.78043314971725,-0.9644981384277145,28.611307337434155,24.79546831797309,3.815839019461066,95.1999969482422,93.71500015258789,94.45749855041504,92.51499938964844,91.63500022888184,90.53499984741211,96.0,4.0,92.0,91.80296751488062,,0.0,0.0,59.88596380563427,11.830814245560152,70.25523838004345,96.74054680987783,94.54023773085466,-3.259453190122164,2.9205587499282046,94.13932539234676,5.839020184381584,-0.21448953734279907,-0.21471989560613025,108.93926530200685
2018-05-14,0.7863605870706891,-0.6229581513054083,0.1123372267243905,msft,-0.6944447690884981,-0.7321336333410734,0.12340883300940853,1432173317.5937786,647151900,0.14851684526831266,8194355.268853652,58.13075861736054,3.866023790709299,0.88223145980739,29722.52531376599,2118.0839211050325,95.04177104447513,1.9950689145531115,95.41750030517578,98.55519330981942,92.27980730053214,6.5767663051500795,0.9163088087736312,0.0,0.0,95.78066711425781,97.49566802978525,94.06566619873038,3.5811003769301166,1.155781476462739,1.0,0.0,8.81390063165716,0.9215215963480542,1.1866272586362498,0.8758457733948757,0.31078148524137417,95.80750020345052,94.79576932466946,96.1921329067732,95.00550564813695,12.241766181241323,25.746734149344803,14.921892627521816,1.1280365088648479,0.8995405082837507,0.2284960005810972,0.1341643916833678,23.39382951779407,148.90526482360593,0.40249938964844034,31.847550230750432,25.426356389983855,6.421193840766577,95.56999969482422,94.48500061035156,95.02750015258789,92.88500213623047,91.74250030517578,90.53499984741211,100.0,8.0,92.0,92.04884869221509,,0.0,0.0,60.741704711073325,13.154311495201194,71.18139637200049,92.15215963480541,96.12376048946889,-7.84784036519458,3.1689707812140995,94.68818085176662,3.999571989843323,0.33777056434249886,0.33720140085620187,109.6450006375505
2018-05-15,0.6273145040646355,-0.925546632713592,0.08227255533961307,msft,0.12340883300940853,-0.3911761453083028,-0.6162679440834817,1439502719.5309348,622557900,0.1415653047178894,4529202.018514488,59.2066720942227,-5.5564603164400586,2.180140899431792,-112416.0410608929,2118.0839211050325,95.42916061060892,1.9645622672384253,95.48000030517578,98.71546659092407,92.24453401942749,6.777264925444077,0.7843484102667587,0.0,0.0,96.0616668701172,97.67766799926767,94.4456657409667,3.3645077829753705,0.8893353791678743,0.0,0.0,8.808131163834393,0.8370984363830349,1.1887012225704012,0.9384168632299809,0.25028435934042037,95.93250020345052,95.04769251896785,96.36565087416567,95.17694965159527,12.553542205341937,24.270395222887178,17.357418075440485,1.1675247221872294,0.8087885453844011,0.3587361768028282,0.14362350632466028,23.282184323131954,93.52145710407459,-1.9600036621093722,34.53792560654978,26.562774681716917,7.97515092483286,95.56999969482422,94.48500061035156,95.02750015258789,92.88500213623047,91.74250030517578,90.53499984741211,96.0,4.0,92.0,92.44731791716656,,0.0,0.0,57.88078000748674,13.546061649740155,67.1005867880335,78.04484710657925,88.97918451708745,-21.95515289342075,3.3109702390783013,94.83979503216914,1.565435195968826,-0.7242671562927794,-0.7269027041767906,108.1266107531229
2018-05-16,0.04108557444184592,-0.7600635364938935,-0.21569338861562315,msft,-0.6162679440834817,-0.8694081767631274,-0.7751136662275558,1445743363.628904,605173200,0.13367488295145397,3459977.8490604796,51.92470662112266,-0.38134800526213575,1.3489536520445315,-208493.785759901,2114.3840609592303,95.64567869248339,1.846105918444269,95.51550025939942,98.80740868679086,92.22359183200797,6.892930296028053,0.7482604395795253,0.0,0.0,96.37166697184244,97.86766840616869,94.87566553751618,3.104649906623177,0.7601383047426703,0.0,0.0,8.80485747262969,0.8168846319930052,1.1632185629155316,0.9833772031670911,0.1798413597484405,96.23500061035156,95.21192345252403,96.48632020519847,95.32310164228294,12.843048513435365,23.59784075419512,16.876428417695426,1.1156263035072105,0.908385849407573,0.20724045409963743,0.15084325353413244,23.166965538195733,82.63584384483376,-0.5155002593994169,37.743125359091664,28.292109378340403,9.451015980751261,95.80500030517578,94.48500061035156,95.14500045776367,92.88500213623047,91.27750015258789,90.53499984741211,92.0,40.0,52.0,92.82187898862094,,0.0,0.0,57.18626391350277,13.698055437832837,67.29068802399257,75.32051987431085,81.83917553856512,-24.679480125689157,3.306264383652632,95.19953342633089,3.881528029419181,-0.17467958228358782,-0.17483232496537937,107.76305605883837
2018-05-17,0.8061169512984191,-0.9611412615167404,-0.5994231275833428,msft,-0.7751136662275558,-0.8785624664085528,1.0311403413623357,1435556689.2610064,587926500,0.1215982089407817,575792.4344660416,42.616769723291874,-3.22236142032616,0.0678816388119906,-202568.4455856492,2093.2728402906505,95.65683553791713,1.8324952350471075,95.51900024414063,98.81357730705311,92.22442318122815,6.898265380692316,0.6003163757309131,0.0,0.0,96.64166717529297,98.06066818237312,95.2226661682128,2.9366236087511086,0.33732679969440743,0.0,0.0,8.80453484711305,0.7015456547850175,1.0526184494214021,0.9972254524179534,0.055392997003448796,96.33333396911621,95.37807728694035,96.43919406673344,95.38657561731203,12.5331044894609,22.14877853621727,18.677021053837006,1.0617183643371637,1.005244245179541,0.05647411915762279,0.15392832430203582,23.144240872247483,53.22829178846079,-2.008998107910145,38.93579342786705,30.093411856864105,8.842381571002942,96.87000274658202,94.48500061035156,95.6775016784668,92.88500213623047,91.28000068664551,90.53499984741211,88.0,36.0,52.0,93.17396639578806,,0.0,0.0,53.259306709327475,12.795813495975104,62.27697396745551,59.77564220127405,71.04700306072134,-40.22435779872595,2.9567940655876583,95.25825813835914,1.242105584395559,-0.9984572367142341,-1.0034752507388944,105.68863079040023
2018-05-18,0.9582315888712278,0.0,0.3645437624555603,msft,1.0311403413623357,-0.8374942003253434,0.7010312424492682,1431284400.530971,605792300,0.12116505625334155,952943.4370008175,45.63497661747812,-1.107141839177717,0.6205412490167406,-138765.18456872605,2093.2728402906505,95.8667223212454,1.7412455284369266,95.58700027465821,98.89204582341804,92.28195472589837,6.915261571684788,0.6169424633169442,0.0,0.0,96.83666712443033,98.10266749064134,95.5706667582193,2.6147128020923502,0.311743137363632,0.0,0.0,8.798271352740631,0.722948773310014,0.9683292857072985,0.9914462190758224,-0.02311693336852394,96.57083384195964,95.48500031691331,96.4270104580593,95.458681172352,12.245299324341754,21.387826661758904,18.03534620224301,1.1099733073177638,0.9661623205852954,0.1438109867324684,0.1541866215897453,23.109253653931578,44.784859369222524,-1.51700057983399,38.84847395869087,31.894687641266476,6.953786317424392,96.87000274658202,94.48500061035156,95.6775016784668,92.88500213623047,91.49750137329102,90.53499984741211,84.0,32.0,52.0,93.50492855852515,,0.0,0.0,53.89204763275567,12.190732162831745,57.72113524747309,62.66025993715542,65.91880733758006,-37.33974006284458,2.5458233104032644,95.29483238372931,3.047800672669268,0.18714941214872383,0.18697450582649822,106.07357585378124
2018-05-21,1.0412393157015254,-0.20618242086825056,0.6185551279598966,msft,0.7010312424492682,-0.7342298329990113,-0.9930397396320734,1437544417.6340687,625214800,0.1387829314899416,4257359.875866947,43.689944273902206,5.8249494434950355,1.454484601659922,283372.0032343508,2093.2728402906505,96.11874878798685,1.732121128181126,95.6995002746582,99.11591644645195,92.28308410286446,7.1398829920503335,0.778142079872116,0.0,0.0,96.98266728719074,98.20866750081387,95.7566670735676,2.528287265996994,0.751766345580801,0.0,0.0,8.787928503255078,0.8703919747150559,0.9901728840586941,0.9911915520723968,-0.0010186680137027615,96.86500040690105,95.65884634164664,96.60747015283803,95.61729726877934,12.626629309955892,24.1300188778351,16.91304050957314,1.1471540533393687,0.8431282694555658,0.30402578388380286,0.1548125582202821,23.12910419038997,86.96275213165211,-0.539496612548831,40.55544775294083,33.83102533690024,6.724422416040589,96.87000274658202,94.48500061035156,95.6775016784668,92.88500213623047,91.5575008392334,90.53499984741211,80.0,28.000000000000004,52.0,93.81603299149802,,0.0,0.0,58.10005600771702,12.759009202678373,56.91466076600333,82.53200308109908,68.32263507317613,-17.467996918900926,2.178735553517072,95.38338565078018,3.7525234301569768,1.2868387877908782,1.2786293704294849,108.72541055925535
2018-05-22,0.5016358131026522,-0.4914039265294212,-0.18427549612348715,msft,-0.9930397396320734,-0.9983310892695358,2.08872328775076,1431654560.5064926,609773600,0.17542327443847533,3428580.402371864,50.54060767099206,1.7589012346990662,1.5080448664644197,234115.60307979974,2091.128126220766,96.3948136565007,1.6559091374333241,95.9185001373291,99.20447853838644,92.63252173627177,6.851605052941218,0.7406436789362361,0.0,0.0,97.17733383178708,98.39033355712897,95.9643341064452,2.4964663620872276,0.6330033970625898,0.0,0.0,8.767864020046739,0.8585015549080315,0.9880257066655531,0.990558382991028,-0.0025326763254749363,97.06000010172527,95.78692333514874,96.7447824370168,95.75675673035124,13.072474005367342,23.84060367328114,16.271979036929352,1.1543684735850939,0.8218448678467527,0.33252360573834117,0.1551361271410044,23.13338030464922,87.05062405720274,0.3015010833740206,42.20881619562348,35.661929456462055,6.5468867391614225,97.26000213623047,94.48500061035156,95.87250137329102,92.88500213623047,91.6775016784668,90.53499984741211,76.0,24.0,52.0,94.1084711584925,,0.0,0.0,57.64317221531247,13.11907178747761,55.00532160608846,80.92946484246062,75.37390928690499,-19.070535157539382,2.0779122072107725,95.49912417934596,2.4590124504402056,-0.10245745459473987,-0.1025099781240435,108.51155581650391
2018-05-23,2.08872328775076,-0.4032668734778809,2.016342256330139,msft,2.08872328775076,-0.6129222281106813,-0.4355315411276095,1451671258.2208436,631024800,0.19611726463123597,6460421.748349991,59.486190776998484,-1.8144435362038938,1.6571618813931257,237014.92746182147,2091.128126220766,96.7830073528423,1.7313185899009291,96.23600044250489,99.28449817420768,93.1875027108021,6.335462233853091,0.8975734005631872,0.0,0.0,97.33566716512043,98.59766743977872,96.07366689046214,2.5930890729241756,1.0246973885752664,1.0,0.0,6.525631135765364,0.9888535631544355,1.0676197976321902,1.0059706659192604,0.06164913171292974,97.26333363850911,95.88653887235202,97.0394318562618,95.97181205862961,12.768876374164474,21.645405103380078,18.135859322714797,1.1480759297040786,0.782269938422318,0.3658059912817606,0.15732992992566935,23.317884315984546,96.18805451002102,-0.4260028839111243,45.152332593549744,37.60453027361083,7.547802319938917,97.28000259399414,94.50500106811523,95.89250183105469,92.90500259399414,92.58500099182129,90.53499984741211,100.0,20.0,80.0,94.38336303546733,,0.0,0.0,61.43201687632843,14.468550830762988,62.70024491829414,98.79518705131387,87.41888499162447,-1.20481294868613,2.0253238229190487,95.67515661942485,2.5358578366773585,1.1897473457532115,1.1827254920271812,110.9923165174195
2018-05-24,0.21270037205756154,-1.9447034670894592,-0.42540847164909135,msft,-0.4355315411276095,-0.2548369314804552,-0.4679620545128271,1462556097.529687,604375500,0.21305213163744105,4205016.119383054,60.17342225410392,2.797441054192208,1.5035797430617914,158294.56515336476,2091.128126220766,97.07183509175535,1.7711872191920832,96.43850021362304,99.47308300821187,93.40391741903422,6.293301508975892,0.8083615560445269,0.0,0.0,97.37400029500324,98.75900166829433,95.98899892171212,2.844704683170288,0.837904814262522,0.0,0.0,6.729683143960016,0.90292691069737,1.0898925182215464,1.0227550363797178,0.06713748184182866,97.47166697184245,95.95846176147461,97.23490350277442,96.14501098455287,12.625413959415848,20.695682224112268,16.674500159371767,1.1514099647145497,0.7902031244632349,0.3612068402513148,0.15963137215463824,23.545528577253616,95.25129249845665,0.5015022277831918,46.123100729628014,39.550285094965695,6.572815634662319,97.38500213623047,94.61000061035156,95.99750137329102,93.01000213623047,92.63000106811523,90.53499984741211,96.0,16.0,80.0,94.73109426118462,,0.0,0.0,59.69687142912648,15.16283693107296,63.37704230394025,83.80449918606777,87.84305035994737,-16.19550081393223,2.0602353488697815,95.70643503217396,2.6093310340302374,-0.3547598728196988,-0.35539063789933323,110.24380044368294
2018-05-25,0.6917602075940499,-0.44761182883642503,0.06103515435516016,msft,-0.4679620545128271,-0.8044525215399345,0.4803773899173081,1460588496.6066687,622739400,0.22691857328719248,3735478.2512104795,59.43240806200932,3.3239329258618415,0.906089392195307,-85200.66000655864,2092.191729013201,97.24611292258425,1.7060687719310779,96.56550025939941,99.69696970157516,93.43403081722367,6.485689886685869,0.7865268820418907,0.0,0.0,97.4603337605794,98.87433522542324,96.04633229573555,2.9016963317968347,0.818127976575867,0.0,0.0,6.762256076083217,0.9050532713479711,1.0989110753110083,1.037986244165976,0.06092483114503233,97.59000015258789,96.04500022301308,97.40799536547858,96.30908429016758,12.519875122032317,19.948418093017523,15.94685916358265,1.097870116243712,0.8509127796894231,0.24695733655428875,0.1616830617105677,23.660539832365007,104.42200480939087,1.344503402709961,45.3226293186214,41.04751610472914,4.275113213892261,97.40500259399414,94.63000106811523,96.01750183105469,93.03000259399414,92.96000099182129,90.53499984741211,92.0,12.0,80.0,95.15198507920678,,0.0,0.0,59.87125368014455,15.792222204746595,61.5122030952168,84.22384991254351,88.94117871664167,-15.776150087456482,2.258323691872988,95.75849799480379,1.4648216764834732,0.05086263147142667,0.05084970081945528,110.35073597309415
